geodeticdatum	standard	vetted
'		1
"INTERNATIONAL SPHEROID"	International 1924 ellipsoid	1
(NAD83)	NAD83	1
(WGS 84)	WGS84	1
(WGS66) WORLD GEODETIC SYSTEM 1966	WGS66	1
(WGS72) WORLD GEODETIC SYSTEM 1972	WGS72	1
(WGS84) WORLD GEODETIC SYSTEM 1984	WGS84	1
?		1
[ORNIS]GEODETICDATUM]	not recorded	1
-110.854167		1
1121 M		1
115.106995		1
153311.1		1
1628.192		1
1787.192	not recorded (forced WGS84)	1
17938		1
1962 AMERICAN SAMOA	1962 American Samoa	1
2		1
22.211654		1
2267.192		1
3635.192		1
42.356157		1
5047		1
76.137987		1
-9.47		1
ADAMS		1
ADG 66	AGD66	1
ADINDAN	Adindan	1
AFGOOYE	Afgooye	1
AGD 66	AGD66	1
AGD66	AGD66	1
AGD84	AGD84	1
AIN EL ABD 1970	Ain el Abd 1970	1
AIRY 1830 ELLIPSOID	Airy 1830 ellipsoid	1
AMERICAN SAMOA 1962	American Samoa 1962	1
AMERSFOORT	Amersfoort	1
ANGEL		1
ANNA 1 ASTRO 1965	Anna 1 Astro 1965	1
ANTIGUA ISLAND ASTRO 1943	Antigua Island Astro 1943	1
ARC 1950	Arc 1950	1
ARC 1960	Arc 1960	1
ASCENSION ISLAND 1958	Ascension Island 1958	1
ASTRO BEACON E 1945	Astro Beacon E 1945	1
ASTRO DOS 71/4	Astro DOS 71/4	1
ASTRO TERN ISLAND (FRIG) 1961	Astro Tern Island (FRIG) 1961	1
ASTRONOMIC STATION NO. 1 1951	Astronomic Station No. 1 1951	1
ASTRONOMIC STATION NO. 2 1951 (TRUK ISLAND)	Astronomic Station No. 2 1951 (Truk Island)	1
ASTRONOMIC STATION PONAPE (1951)	Astronomic Station Ponape (1951)	1
ASTRONOMIC STATION PONAPE 1951	Astronomic Station Ponape 1951	1
ASTRONOMICAL STATION 1952	Astronomical Station 1952	1
AUA	AGD66	1
AUSTRALIAN GEODETIC		1
AUSTRALIAN GEODETIC 1966	AGD66	1
AUSTRALIAN GEODETIC DATUM 1966	Australian Geodetic Datum 1966	1
AUSTRALIAN GEODETIC DATUM 1984	Australian Geodetic Datum 1984	1
AUSTRALIAN NATIONAL ELLIPSOID	Australian National ellipsoid	1
AYABELLE LIGHTHOUSE	Ayabelle Lighthouse	1
BEKAA VALLEY 1920 (IGN)	Bekaa Valley 1920 (IGN)	1
BELLEVUE (IGN)	Bellevue (IGN)	1
BERMUDA 1957	Bermuda 1957	1
BESSEL 1841 ELLIPSOID	Bessel 1841 ellipsoid	1
BESSEL 1841 ELLIPSOID (NAMIBIA)	Bessel 1841 ellipsoid (Namibia)	1
BIOGEOMANCER	WGS84	1
BISSAU	Bissau	1
BOGOTA OBSERVATORY	Bogota Observatory	1
BUKIT RIMPAH	Bukit Rimpah	1
CAMP AREA ASTRO	Camp Area Astro	1
CAMPO INCHAUSPE	Campo Inchauspe	1
CANTON ASTRO 1966	Canton Astro 1966	1
CAPE	Cape	1
CAPE CANAVERAL	Cape Canaveral	1
CARTHAGE	Carthage	1
CHATHAM ISLAND ASTRO 1971	Chatham Island Astro 1971	1
CHUA ASTRO	Chua Astro	1
CLARKE 1858	Clarke 1858	1
CLARKE 1858 ELLIPSOID	Clarke 1858 ellipsoid	1
CLARKE 1866 ELLIPSOID	Clarke 1866 ellipsoid	1
CLARKE 1880 ELLIPSOID	Clarke 1880 ellipsoid	1
CO-ORDINATE SYSTEM 1937 OF ESTONIA	Co-ordinate System 1937 of Estonia	1
CORREGO ALEGRE	Corrego Alegre	1
D		1
D. HARDCASTLE		1
D.HARDCASTLE		1
DABOLA	Dabola	1
DATUM NOT RECORDED	not recorded (forced WGS84)	1
DAVE LAFEVER		1
DECEPTION ISLAND	Deception Island	1
DECIMAL DEGREES		1
DJAKARTA (BATAVIA)	Djakarta (Batavia)	1
DL		1
DL &TJH		1
DL AND TJH		1
DOS 1968	DOS 1968	1
EASTER ISLAND 1967	Easter Island 1967	1
EGS84	WGS84	1
EUROPA TECHNOLOGIES,	not recorded	1
EUROPEAN 1950	European 1950	1
EUROPEAN 1979	European 1979	1
EVEREST ELLIPSOID (BRUNEI,SABAH,SARAWAK)	Everest ellipsoid (Brunei,Sabah,Sarawak)	1
EVEREST INDIA 1830 ELLIPSOID	Everest India 1830 ellipsoid	1
EVEREST INDIA 1956 ELLIPSOID	Everest India 1956 ellipsoid	1
EVEREST PAKISTAN ELLIPSOID	Everest Pakistan ellipsoid	1
