reproductivecondition	standard	vetted
 		1
'		1
-		1
--		1
---	unknown	1
--------------------------------------------------		1
-----------------------------------------------------------------------------------------------------------------		1
 TESTES ABDOMINAL, SUBADULT	subadult	1
(LACTATING)	adult	1
(SEE COMMENT)		1
*	unknown	1
.		1
?	unknown	1
??	unknown	1
1EMB 28X18	pregnant	1
1EMB 28X21	pregnant	1
1EMB 4.5X2.5 MM	pregnant	1
2 EMB 1DER 1 IZQ 6MM	pregnant	1
4EMBS 15X11	pregnant	1
5EMBS 10X8	pregnant	1
5EMBS 30X15	pregnant	1
8EMBS 11X7	pregnant	1
A	unknown	1
A LAC	lactating	1
A PREÑ.	pregnant	1
A PROBABLEMENTE POST-LACTANDO	probably post-lactating	1
A T 2*4	unknown	1
A T 3*2	unknown	1
A T 4*5	unknown	1
A T 5*4	unknown	1
A T 5X3	unknown	1
A T 6*4	unknown	1
A T8X6	unknown	1
A T9MM	unknown	1
A TE 16X10	scrotal testicles	1
A TES	scrotal testicles	1
AD	unknown	1
AD T 4X2	unknown	1
ADULTA	unknown	1
ADULTA (MULTÍPARA)	multiparous	1
ADULTA LAC	lactating	1
ADULTA, INACTIVA	inactive	1
ADULTA, MULTIPARA, INACTIVA	inactive, multiparous	1
ADULTA, NUDIPARA, PREÑADA	nulliparous, pregnant	1
ADULTO	unknown	1
ADULTO (TESTÍCULOS ABDOMINALES)	abdominal testicles	1
ADULTO: 4 MAM ABDOMINALES	unknown	1
ADULTO: LACTANTE	lactating	1
AI	inactive	1
ALAC	lactating	1
AM	multiparous	1
AMI	multiparous, inactive	1
AML?	lactating?	1
AMP	pregnant	1
AMUL	multiparous	1
AN	nulliparous	1
ANI	inactive	1
AP	pregnant	1
APRE	pregnant	1
AT 3X2	unknown	1
ATA	unknown	1
ATE	scrotal testicles	1
BREEDING	breeding	1
DETERMINE	unknown	1
DISSECT	unknown	1
EMB  	pregnant	1
EMB 1 EMB. 18MM	pregnant	1
EMB 18 MM	pregnant	1
EMB 22X15	pregnant	1
EMB 2X1	pregnant	1
EMB 3 EMB. 1 DER, 2 1ZQ.	pregnant	1
EMB 3X7	pregnant	1
ENB 1 EMB 4 MM	pregnant	1
F	unknown	1
F-	unknown	1
F ?	unknown	1
F/J		1
F?	unknown	1
F?, JUV		1
F+	unknown	1
FORMATIVE	formative	1
G	gravid	1
GF	gravid	1
GF(3)	gravid	1
GF(4)	gravid	1
GF(5)	gravid	1
GF(6)	gravid	1
GF(7)	gravid	1
GF(8)	gravid	1
GF(9)	gravid	1
H		1
HAD LACTATED (NON-RECENT).	lactating	1
HAD LACTATED (NOT RECENT).	lactating	1
HAD LACTATED; PLACENTAL SCARS NOT SEEN.	lactating	1
HAD SUCKLED	lactating	1
HAS LACATED, UTERINE SCARS NOT IDENT.	lactating	1
HEMBRA		1
HEMBRA 2 PARES MA		1
HEMBRA A		1
HEMBRA AD		1
HEMBRA AD IN		1
HEMBRA AD MA		1
HEMBRA AD NI		1
HEMBRA AI		1
HEMBRA AM		1
HEMBRA GESTAL		1
