verbatimcoordinatesystem	standard	vetted
"DEGREES MINUTES SECONDS, NEAREST MINUTE"	degrees minutes seconds	1
"TOWNSHIP, SECTION, RANGE"	PLSS	1
#NAME?		1
1/5/2012		1
14276		1
2012/01/05		1
4094.192		1
41763		1
4507.192 M		1
9319.192		1
9334		1
CARTOGRAFA DIGITAL DEL LABORATORIO DE SIG'S Y PR, INSTITUTO DE GEOGRAFA, UNAM.  INCLUYE: INEGI, 2000; IMT2000.  ESCALA 1:250,000		1
CARTOGRAFÍA DIGITAL DEL LABORATORIO DE SIG'S Y PR, INSTITUTO DE GEOGRAFÍA, UNAM.  INCLUYE: INEGI, 2000; IMT2000.  ESCALA 1:250,000		1
DCIMAL DEGREES	decimal degrees	1
DD	decimal degrees	1
DD.DDD	degrees decimal minutes	1
DD.DDDD	degrees decimal minutes	1
DDM	degrees minutes seconds	1
DEC DEGREES	decimal degrees	1
DECIMA DEGREES	decimal degrees	1
DECIMA LDEGREES	decimal degrees	1
DECIMAL DECIMAL MINUTES	degrees decimal minutes	1
DECIMAL DEGREE	decimal degrees	1
DECIMAL DEGREEES	decimal degrees	1
DECIMAL DEGREES	decimal degrees	1
-DECIMAL DEGREES	decimal degrees	1
DECIMAL DEGREES AND DEGREES	decimal degrees	1
DECIMAL DEGREES AND DEGREES MINUTES SECONDS	degrees minutes seconds	1
DECIMAL DEGREES`	decimal degrees	1
DECIMAL DEGRES	decimal degrees	1
DECIMAL DEGRESS	decimal degrees	1
DECIMAL DEGRREES	decimal degrees	1
DECIMAL MINUTES	degrees decimal minutes	1
DECIMAL MINUTES SECONDS	degrees minutes seconds	1
DECIMALL DEGREES	decimal degrees	1
DECIMAN DEGREES	decimal degrees	1
DECIMLA DEGREES	decimal degrees	1
DECMAL DEGREES	decimal degrees	1
DEG. MIN. SEC.	degrees minutes seconds	1
DEGDECMN	degrees decimal minutes	1
DEGEES DECIMAL MINUTES	degrees decimal minutes	1
DEGREE DECIMAL	degrees decimal minutes	1
DEGREE DECIMAL MINUTES	degrees decimal minutes	1
DEGREE MINUTES	degrees minutes seconds	1
DEGREE MINUTES SECONDS	degrees minutes seconds	1
DEGREEES DECIMAL MINUTES	degrees decimal minutes	1
DEGREES  DECIMAL MINUTES	degrees decimal minutes	1
DEGREES & MINUTES CONVERTED TO DEC LAT/LONG FOR CALCULATIONS; SOFTMAP USES SAME LAT/LONG DATA	degrees minutes seconds	1
DEGREES AND DECIMAL MINUTES	degrees decimal minutes	1
DEGREES DEC. MINUTES	degrees decimal minutes	1
DEGREES DECIIMAL MINUTES	degrees decimal minutes	1
DEGREES DECIMA MINUTES	degrees decimal minutes	1
DEGREES DECIMAL DEGREES	degrees decimal minutes	1
DEGREES DECIMAL M INUTES	degrees decimal minutes	1
DEGREES DECIMAL MINTES	degrees decimal minutes	1
DEGREES DECIMAL MINTEUS	degrees decimal minutes	1
DEGREES DECIMAL MINTUES	degrees decimal minutes	1
DEGREES DECIMAL MINTUTES	degrees decimal minutes	1
DEGREES DECIMAL MINU	degrees decinal minutes	1
DEGREES DECIMAL MINUES	degrees decimal minutes	1
DEGREES DECIMAL MINUETES	degrees decimal minutes	1
DEGREES DECIMAL MINUTAES	degrees decimal minutes	1
DEGREES DECIMAL MINUTE	degrees decimal minutes	1
DEGREES DECIMAL MINUTERS	degrees decimal minutes	1
DEGREES DECIMAL MINUTES	degrees decimal minutes	1
DEGREES DECIMAL MINUTESDEGREES DECIMAL MINUTES	degrees decimal minutes	1
DEGREES DECIMAL MINUTESW	degrees decimal minutes	1
DEGREES DECIMAL MINUTESZ	degrees decimal minutes	1
DEGREES DECIMAL MINUTEW	degrees decimal minutes	1
DEGREES DECIMAL MINUTRES	degrees decimal minutes	1
DEGREES DECIMAL MINUTS	degrees decimal minutes	1
DEGREES DECIMAL MINUUTES	degrees decimal minutes	1
DEGREES DECIMAL MNUTES	degrees decimal minutes	1
DEGREES DECIMALMINUTES	degrees decimal minutes	1
DEGREES DECIMELA MINUTES	degrees decimal minutes	1
DEGREES DECIML MINUTES	degrees decimal minutes	1
DEGREES DECIMLA MINUTES	degrees decimal minutes	1
DEGREES DECIMLAL MINUTES	degrees decimal minutes	1
DEGREES DEGREES	decimal degrees	1
DEGREES DEICMAL MINUTES	degrees decimal minutes	1
DEGREES MINUTE SECONDS	degrees minutes seconds	1
DEGREES MINUTES	degrees minutes seconds	1
DEGREES MINUTES AND SECONDS	degrees minutes seconds	1
DEGREES MINUTES SECO	degrees minutes seconds	1
DEGREES MINUTES SECOND	degrees minutes seconds	1
DEGREES MINUTES SECONDS	degrees minutes seconds	1
DEGREES MINUTES SECONDS, NEAREST MINUTE	degrees minutes seconds	1
DEGREES, MINUTES	degrees minutes seconds	1
DEGRES DECIMAL MINUTES	degrees decimal minutes	1
DEGRES MINUTES SECONDS	degrees minutes seconds	1
DEGRESES DECIMAL MINUTES	degrees decimal minutes	1
DEGRESS MINUTES	degrees minutes seconds	1
DEGRESS MINUTES SECO	degrees minutes seconds	1
DEGRESS MINUTES SECONDS	degrees minutes seconds	1
DEGRREES DECIMAL MINUTES	degrees decimal minutes	1
DEGRRES DECIMAL MINUTES	degrees decimal minutes	1
DEIMAL DEGREES	decimal degrees	1
DIGITAL DEGREES	decimal degrees	1
DMS	degrees decimal minutes	1
GPS		1
GPS COORDINATES		1
GPS UTM	UTM	1
GPS-WGS84		1
GRADOS MINUTOS SEGUNDOS	degrees minutes seconds	1
IN_PROGRESS		1
LINE		1
NAD27		1
NOT RECORDED		1
POINT		1
RIJKSDRIEHOEKSMEETING	Rijksdriehoeksmeeting	1
TOWNSHIP, SECTION, RANGE	PLSS	1
TRS	PLSS	1
TSR	PLSS	1
UNIV. TRANS.  MERCATOR	UTM	1
UNIV. TRANS. MERCATOR	UTM	1
UNIV. TRANSV. MERC.	UTM	1
UNIV. TRANSV. MERCATOR	UTM	1
UNIV. TRNSVS.  MERCATOR	UTM	1
UNIVERSAL TRANSVERSE MERCATOR	UTM	1
UNKNOWN		1
UNKNOWNDECIMAL DEGREES	decimal degrees	1
UNKOWN	unknown	1
USGS 1:24,000		1
UTM	UTM	1
UTM TO DEC. DEG.	UTM	1
UTM WGS84	UTM	1
VCS		1
WGS 1984		1
WGS 84	WGS84	1
WGS84		1
