Field name	Type	Mode
coreid	STRING	NULLABLE
continent	STRING	NULLABLE
coordinateprecision	STRING	NULLABLE
coordinateuncertaintyinmeters	STRING	NULLABLE
country	STRING	NULLABLE
countrycode	STRING	NULLABLE
county	STRING	NULLABLE
decimallatitude	STRING	NULLABLE
decimallongitude	STRING	NULLABLE
footprintsrs	STRING	NULLABLE
footprintspatialfit	STRING	NULLABLE
footprintwkt	STRING	NULLABLE
geodeticdatum	STRING	NULLABLE
georeferenceprotocol	STRING	NULLABLE
georeferenceremarks	STRING	NULLABLE
georeferencesources	STRING	NULLABLE
georeferenceverificationstatus	STRING	NULLABLE
georeferencedby	STRING	NULLABLE
georeferenceddate	STRING	NULLABLE
highergeography	STRING	NULLABLE
highergeographyid	STRING	NULLABLE
island	STRING	NULLABLE
islandgroup	STRING	NULLABLE
locality	STRING	NULLABLE
locationaccordingto	STRING	NULLABLE
locationid	STRING	NULLABLE
locationremarks	STRING	NULLABLE
maximumdepthinmeters	STRING	NULLABLE
maximumelevationinmeters	STRING	NULLABLE
minimumdepthinmeters	STRING	NULLABLE
minimumelevationinmeters	STRING	NULLABLE
municipality	STRING	NULLABLE
pointradiusspatialfit	STRING	NULLABLE
stateprovince	STRING	NULLABLE
verbatimcoordinatesystem	STRING	NULLABLE
verbatimcoordinates	STRING	NULLABLE
verbatimdepth	STRING	NULLABLE
verbatimelevation	STRING	NULLABLE
verbatimlatitude	STRING	NULLABLE
verbatimlocality	STRING	NULLABLE
verbatimlongitude	STRING	NULLABLE
verbatimsrs	STRING	NULLABLE
waterbody	STRING	NULLABLE
idigbio_countrycode	STRING	NULLABLE
idigbio_decimallatitude_wgs84	STRING	NULLABLE
idigbio_decimallongitude_wgs84	STRING	NULLABLE
