processingID	verbatimDecimalLatitude	verbatimDecimalLongitude	verbatimCoordinates	verbatimCoordinateSystem	verbatimLatitude	verbatimLongitude	latlng	lat	lng	Lat_Dir	Long_Dir	Lat_Deg	Dec_Lat_Min	Lat_Min	Lat_Sec	Long_Deg	Dec_Long_Min	Long_Min	Long_Sec	decimalLatitude	decimalLongitude
0	-41	147.166666666667		decimal degrees																-41	147.1666667
1			-112.345; 67.890	decimal degrees			-112.345 | 67.890	67.890	112.345	N	W	67.890				112.345				67.89	-112.345
2			112.345, -67.890	decimal degrees			112.345 | -67.890	67.890	112.345	S	E	67.890				112.345				-67.89	112.345
3			112.345E, 67.890S	decimal degrees			112.345E |  | 67.890S	67.890	112.345	S	E	67.890				112.345				-67.89	112.345
4			112.345W, 67.890S	decimal degrees			112.345W |  | 67.890S	67.890	112.345	S	W	67.890				112.345				-67.89	-112.345
5			112.345O, 67.890N	decimal degrees			112.345W |  | 67.890N	67.890	112.345	N	W	67.890				112.345				67.89	-112.345
6			112.345W 67.890N	decimal degrees			112.345W |  67.890N	67.890	112.345	N	W	67.890				112.345				67.89	-112.345
7			 67.890N   112.345W	decimal degrees			67.890N |   112.345W	67.890	112.345	N	W	67.890				112.345				67.89	-112.345
8			25 54S, 54 36W	degrees minutes seconds			25 54S |  | 54 36W	25 54	54 36	S	W	25	54			54	36			-25.9	-54.6
9			67d47'22"S 112°21.43'E	degrees minutes seconds			67d47'22"S |  112°21.43'E	67 47 22	112 21.43	S	E	67	47		22	112	21.43			-67.7894444	112.3571667
10			67d47'22"S 112°21.43'W	degrees minutes seconds			67d47'22"S |  112°21.43'W	67 47 22	112 21.43	S	W	67	47		22	112	21.43			-67.7894444	-112.3571667
11			67°47.22S 112°21 43'W	degrees minutes seconds			67°47.22S |  112°21 43'W	67 47.22	112 21 43	S	W	67	47.22			112	21		43	-67.787	-112.3619444
12			17d 33m 5s N/99d 30m 3s W	degrees minutes seconds			17d 33m 5s N |  | 99d 30m 3s W	17 33 5	99 30 3	N	W	17	33		5	99	30		3	17.5513889	-99.5008333
13			4d 27m 24s S/78d 10m 6s W	degrees minutes seconds			4d 27m 24 S |  | 78d 10m 6S |  W	4 27 24	78 10 6	S	W	4	27		24	78	10		6	-4.4566667	-78.1683333
14			71d 17m 26s N/156d 47m 19s W	degrees minutes seconds			71d 17m 26s N |  | 156d 47m 19s W	71 17 26	156 47 19	N	W	71	17		26	156	47		19	71.2905556	-156.7886111
15			14.93333/-91.9	decimal degrees			14.93333 | -91.9	14.93333	91.9	N	W	14.93333				91.9				14.93333	-91.9
16			434000N;0792300W	degrees minutes seconds			434000N |  | 0792300W	434000	0792300	N	W	434000				0792300					
17			29.3920969444/-106.8987177777	decimal degrees			29.3920969444 | -106.8987177777	29.3920969444	106.8987177777	N	W	29.3920969444				106.8987177777				29.3920969	-106.8987178
26				degrees minutes seconds	9997824	500006		9997824	500006	N	E	9997824				500006					
27				decimal degrees	-23.45	23.45		23.45	23.45	S	E	23.45				23.45				-23.45	23.45
28				decimal degrees	23.45	23.45		23.45	23.45	N	E	23.45				23.45				23.45	23.45
29				decimal degrees	23.45	-23.45		23.45	23.45	N	W	23.45				23.45				23.45	-23.45
30				decimal degrees	123.45	56.78		56.78	123.45	N	E	56.78				123.45				56.78	123.45
31				decimal degrees	-123.45	-56.78		56.78	123.45	S	W	56.78				123.45				-56.78	-123.45
32				decimal degrees	123.45	123.45		123.45	123.45	N	E	123.45				123.45					123.45
33				decimal degrees	-23.45	-23.45		23.45	23.45	S	W	23.45				23.45				-23.45	-23.45
34				degrees minutes seconds				12 13 14.15	12 13.1415	N	W	12	13	13	14.15	12	13.1415			12.4372639	-12.219025
35				degrees minutes seconds				12 13.1415	12 13 14.15	S	E	12	13.1415			12	13	13	14.15	-12.219025	12.4372639
36	12.23	-12.23		decimal degrees																12.23	-12.23
37	12.23																			12.23	
38		-12.23																			-12.23
39	12.23S	12.23W		decimal degrees	12.23S	12.23W		12.23	12.23	S	W	12.23				12.23				-12.23	-12.23
40	94	22		decimal degrees																	22
41	22	-190		decimal degrees																22	
42	0.00	0.00		decimal degrees																	
43				degrees minutes seconds	06 DEG 23'S	80 DEG 25'E		06 23	80 25	S	E	06	23			80	25			-6.3833333	80.4166667
44				degrees minutes seconds	49 DEG 09'45"N	79 DEG 15'30"W		49 09 45	79 15 30	N	W	49	09		45	79	15		30	49.1625	-79.2583333
45				degrees minutes seconds	9 DEG 24 MIN N	0 DEG 50 MIN W		9 24	0 50	N	W	9	24			0	50			9.4	-0.8333333
46				degrees minutes seconds	9 DEG 24 MIN. N	0 DEGREES 50 MIN W		9 24	0 50	N	W	9	24			0	50			9.4	-0.8333333
47				degrees minutes seconds	9 DEG 24 MINUTES N	0 DEG. 50 MIN W		9 24	0 50	N	W	9	24			0	50			9.4	-0.8333333
48				degrees minutes seconds	5°30' N	11°20' E		5 30	11 20	N	E	5	30			11	20			5.5	11.3333333
49				degrees decimal minutes	09°10,391'_N	008° 56,062'_W		09 10.391	008 56.062	N	W	09	10.391			008	56.062			9.1731833	-8.9343667
50				degrees minutes seconds	49°21 Sud	67°10 Est		49 21	67 10	S	E	49	21			67	10			-49.35	67.1666667
51			44 deg 41’47.30”N, -73 deg 28’2.16”W	degrees decimal minutes			44 deg 41’47.30”N |  | -73 deg 28’2.16”W	44 41’47.30”	73 28’2.16”	N	W	44	41’47.30”			73	28’2.16”				
52			42º00’09”N; 72º07’58”W	degrees minutes seconds			42º00’09”N |  | 72º07’58”W	42º00’09”	72º07’58”	N	W	42º00’09”				72º07’58”					
53			41 deg 51’48.13”N, -72 deg 9’15.39”W	degrees decimal minutes			41 deg 51’48.13”N |  | -72 deg 9’15.39”W	41 51’48.13”	72 9’15.39”	N	W	41	51’48.13”			72	9’15.39”				
54			2∞30'0” N, 77∞0'0” E	degrees minutes seconds			2∞30'0” N |  | 77∞0'0” E	2∞30 0”	77∞0 0”	N	E	2∞30	0”			77∞0	0”				
55			17 45’ S. 57 37’ W.	degrees minutes seconds			17 45’ S. 57 37’ W | .	17 45’. 57 37’ W	.	S	E	17	45’.		57 37’ W	.					
