processingID	eventDate	EarliestDateCollected	LatestDateCollected	verbatimEventDate	beginYear	beginMonth	beginDay	endyear	endmonth	endday	startDayOfYear	endDayOfYear	year	month	day	beginDate	endDate	nyear	nmonth	nday	l4	r4	expectedeventDate
1																							
2	2000-12-31	2000-12-31	2000-12-31	2000-12-31	2000	12	31	2000	12	31	366	366	2000	12	31	2000-12-31	2000-12-31	2000	12	31	2000	2-31	2000-12-31
3	2000-12-31	31 Dec 2000	31 Dec 2000	31 Dec 2000	2000	12	31	2000	12	31	366	366	2000	12	31	2000-12-31	2000-12-31	2000	12	31	31 D	2000	2000-12-31
4	2000-12-31	2000-12-31	2000-12-31		2000	12	31	2000	12	31	366	366	2000	12	31	2000-12-31	2000-12-31	2000	12	31	2000	2-31	2000-12-31
5	2000-12-31	31 Dec 2000	31 Dec 2000		2000	12	31	2000	12	31	366	366	2000	12	31	2000-12-31	2000-12-31	2000	12	31	31 D	2000	2000-12-31
6	2000-12-31/2001-12-31	31 Dec 2000	31 Dec 2001		2000	12	31	2001	12	31	366	365		12	31	2000-12-31	2001-12-31		12	31	31 D	2001	2000-12-31/2001-12-31
7													2001	2				2001	2		2001	2-29	
8	2001-02-28	2001-02-28	2001-02-28		2001	2	28	2001	2	28	59	59	2001	2	28	2001-02-28	2001-02-28	2001	2	28	2001	2-28	2001-02-28
9	2000-02-29	2000-02-29	2000-02-29		2000	2	29	2000	2	29	60	60	2000	2	29	2000-02-29	2000-02-29	2000	2	29	2000	2-29	
10													2000	2				2000	2		2000	2-30	
11	2000-02-29	2000-02-29	2000-02-29		2000	2	29	2000	2	29	60	60	2000	2	29	2000-02-29	2000-02-29	2000	2	29	2000	2-29	
12	2000-02-29/2000-03-01				2000	2	29	2000	3	1	60	61	2000			2000-02-29	2000-03-01	2000					2000-02-29/2000-03-01
13	2000-02-01	2000-02-01	2000-02-01		2000	2	1	2000	2	1	32	32	2000	2	1	2000-02-01	2000-02-01	2000	2	1	2000	2-01	2000-02-01
14	2000-03-01	2000-03-01	2000-03-01		2000	3	1	2000	3	1	61	61	2000	3	1	2000-03-01	2000-03-01	2000	3	1	2000	3-01	2000-03-01
15	2001-03-01	2001-03-01	2001-03-01		2001	3	1	2001	3	1	60	60	2001	3	1	2001-03-01	2001-03-01	2001	3	1	2001	3-01	2001-03-01
16	2001-12-31		31 Dec 2001					2001	12	31							2001-12-31				31 D	2001	2001-12-31
17	2001-12-31	31 Dec 2001			2001	12	31				365					2001-12-31							2001-12-31
18	1889-09-07	9/07/1889	9/07/1889	9/07/1889	1889	9	7	1889	9	7	250	250	1889	9	7	1889-09-07	1889-09-07	1889	9	7	9/07	1889	1889-09-07
19	1941-08-31	31 August 1941	31 August 1941	31 August 1941	1941	8	31	1941	8	31	243	243	1941	8	31	1941-08-31	1941-08-31	1941	8	31	31 A	1941	1941-08-31
20	1901	1901	1901	19010000	1901			1901					1901			1901	1901	1901			1901	1901	1901
