fieldname	standard	vetted	namespace	source	comment
ACCEPTEDNAMEUSAGE	acceptedNameUsage	1	dwc		
ACCEPTEDNAMEUSAGEID	acceptedNameUsageID	1	dwc		
ACCESSRIGHTS	accessRights	1	dcterms		
ANO	year	1	dwc		
AÑO	year	1	dwc		
ASSOCIATEDMEDIA	associatedMedia	1	dwc		
ASSOCIATEDOCCURRENCES	associatedOccurrences	1	dwc		
ASSOCIATEDORGANISMS	associatedOrganisms	1	dwc		
ASSOCIATEDREFERENCES	associatedReferences	1	dwc		
ASSOCIATEDSEQUENCES	associatedSequences	1	dwc		
ASSOCIATEDTAXA	associatedTaxa	1	dwc		
BASISOFIDENTIFICATION		1		FIMS	
BASISOFRECORD	basisOfRecord	1	dwc		
BCID		1		FIMS	
BED	bed	1	dwc		
BEHAVIOR	behavior	1	dwc		
BIBLIOGRAPHICCITATION	bibliographicCitation	1	dcterms		
CATALOGNUMBER	catalogNumber	1	dwc		
CATNUM	catalogNumber	1	dwc		
CLASE	class	1	dwc		
CLASS	class	1	dwc		
COLECTOR	recordedBy	1	dwc		
COLLECTIONCODE	collectionCode	1	dwc		
COLLECTIONID	collectionID	1	dwc		
COLLECTOR	recordedBy	1	dwc		
CONTINENT	continent	1	dwc		
CONTINENT/OCEAN		1			Maps to continent for continents and waterBody for oceans.
CONTINENTE	continent	1	dwc		
COORDENADAS	verbatimCoordinates	1	dwc		
COORDINATEPRECISION	coordinatePrecision	1	dwc		
COORDINATES	verbatimCoordinates	1	dwc		
COORDINATEUNCERTAINTYINMETERS	coordinateUncertaintyInMeters	1	dwc		
COUNTRY	country	1	dwc		
COUNTRYCODE	countryCode	1	dwc		
COUNTY	county	1	dwc		
CUENCA	waterBody	1	dwc		
DATAGENERALIZATIONS	dataGeneralizations	1	dwc		
DATASETID	datasetID	1	dwc		
DATASETNAME	datasetName	1	dwc		
DATE		1			Could be one of many fields.
DATEIDENTIFIED	dateIdentified	1	dwc		
DATUM	geodeticDatum	1	dwc		
DAY	day	1	dwc		
DAYCOLLECTED	day	1	dwc		
DAYIDENTIFIED	dayIdentified	1	dwcloud		Contributes to dwc:dateIdentified
DCTERMS:ACCESSRIGHTS	accessRights	1	dcterms		
DCTERMS:BIBLIOGRAPHICCITATION	bibliographicCitation	1	dcterms		
DCTERMS:LANGUAGE	language	1	dcterms		
DCTERMS:LICENSE	license	1	dcterms		
DCTERMS:MODIFIED	modified	1	dcterms		
DCTERMS:REFERENCES	references	1	dcterms		
DCTERMS:RIGHTSHOLDER	rightsHolder	1	dcterms		
DCTERMS:TYPE	type	1	dcterms		
DECIMALLATITUDE	decimalLatitude	1	dwc		
DECIMALLONGITUDE	decimalLongitude	1	dwc		
DEGREEOFESTABLISHMENT	degreeOfEstablishment	1	dwc		
DETERMINED BY	identifiedBy	1	dwc		
DIA	day	1	dwc		
DÍA	day	1	dwc		
DISPOSITION	disposition	1	dwc		
DRAINAGE	waterBody	1	dwc		
DWC:ACCEPTEDNAMEUSAGE	acceptedNameUsage	1	dwc		
DWC:ACCEPTEDNAMEUSAGEID	acceptedNameUsageID	1	dwc		
DWC:ASSOCIATEDMEDIA	associatedMedia	1	dwc		
DWC:ASSOCIATEDOCCURRENCES	associatedOccurrences	1	dwc		
DWC:ASSOCIATEDORGANISMS	associatedOrganisms	1	dwc		
DWC:ASSOCIATEDREFERENCES	associatedReferences	1	dwc		
DWC:ASSOCIATEDSEQUENCES	associatedSequences	1	dwc		
DWC:ASSOCIATEDTAXA	associatedTaxa	1	dwc		
