term	organizedInClass
type	record-level
modified	record-level
language	record-level
license	record-level
rightsHolder	record-level
accessRights	record-level
bibliographicCitation	record-level
references	record-level
institutionID	record-level
collectionID	record-level
datasetID	record-level
institutionCode	record-level
collectionCode	record-level
datasetName	record-level
ownerInstitutionCode	record-level
basisOfRecord	record-level
informationWithheld	record-level
dataGeneralizations	record-level
dynamicProperties	record-level
occurrenceID	Occurrence
catalogNumber	Occurrence
recordNumber	Occurrence
recordedBy	Occurrence
individualCount	Occurrence
organismQuantity	Occurrence
organismQuantityType	Occurrence
sex	Occurrence
lifeStage	Occurrence
reproductiveCondition	Occurrence
behavior	Occurrence
establishmentMeans	Occurrence
occurrenceStatus	Occurrence
preparations	Occurrence
disposition	Occurrence
associatedMedia	Occurrence
associatedReferences	Occurrence
associatedSequences	Occurrence
associatedTaxa	Occurrence
otherCatalogNumbers	Occurrence
occurrenceRemarks	Occurrence
organismID	Organism
organismName	Organism
organismScope	Organism
associatedOccurrences	Organism
associatedOrganisms	Organism
previousIdentifications	Organism
organismRemarks	Organism
materialSampleID	MaterialSample
eventID	Event
parentEventID	Event
fieldNumber	Event
eventDate	Event
eventTime	Event
startDayOfYear	Event
endDayOfYear	Event
year	Event
month	Event
day	Event
verbatimEventDate	Event
habitat	Event
samplingProtocol	Event
samplingEffort	Event
sampleSizeValue	Event
sampleSizeUnit	Event
fieldNotes	Event
eventRemarks	Event
locationID	Location
higherGeographyID	Location
higherGeography	Location
continent	Location
waterBody	Location
islandGroup	Location
island	Location
country	Location
countryCode	Location
stateProvince	Location
county	Location
municipality	Location
locality	Location
verbatimLocality	Location
minimumElevationInMeters	Location
maximumElevationInMeters	Location
verbatimElevation	Location
minimumDepthInMeters	Location
maximumDepthInMeters	Location
verbatimDepth	Location
minimumDistanceAboveSurfaceInMeters	Location
maximumDistanceAboveSurfaceInMeters	Location
locationAccordingTo	Location
locationRemarks	Location
decimalLatitude	Location
decimalLongitude	Location
geodeticDatum	Location
coordinateUncertaintyInMeters	Location
coordinatePrecision	Location
pointRadiusSpatialFit	Location
verbatimCoordinates	Location
verbatimLatitude	Location
verbatimLongitude	Location
verbatimCoordinateSystem	Location
verbatimSRS	Location
footprintWKT	Location
footprintSRS	Location
footprintSpatialFit	Location
georeferencedBy	Location
georeferencedDate	Location
georeferenceProtocol	Location
georeferenceSources	Location
georeferenceVerificationStatus	Location
georeferenceRemarks	Location
geologicalContextID	GeologicalContext
earliestEonOrLowestEonothem	GeologicalContext
latestEonOrHighestEonothem	GeologicalContext
earliestEraOrLowestErathem	GeologicalContext
latestEraOrHighestErathem	GeologicalContext
earliestPeriodOrLowestSystem	GeologicalContext
latestPeriodOrHighestSystem	GeologicalContext
earliestEpochOrLowestSeries	GeologicalContext
latestEpochOrHighestSeries	GeologicalContext
earliestAgeOrLowestStage	GeologicalContext
latestAgeOrHighestStage	GeologicalContext
lowestBiostratigraphicZone	GeologicalContext
highestBiostratigraphicZone	GeologicalContext
lithostratigraphicTerms	GeologicalContext
group	GeologicalContext
formation	GeologicalContext
member	GeologicalContext
bed	GeologicalContext
identificationID	Identification
identificationQualifier	Identification
typeStatus	Identification
identifiedBy	Identification
dateIdentified	Identification
identificationReferences	Identification
identificationVerificationStatus	Identification
identificationRemarks	Identification
taxonID	Taxon
scientificNameID	Taxon
acceptedNameUsageID	Taxon
parentNameUsageID	Taxon
originalNameUsageID	Taxon
nameAccordingToID	Taxon
namePublishedInID	Taxon
taxonConceptID	Taxon
scientificName	Taxon
acceptedNameUsage	Taxon
parentNameUsage	Taxon
originalNameUsage	Taxon
nameAccordingTo	Taxon
namePublishedIn	Taxon
namePublishedInYear	Taxon
higherClassification	Taxon
kingdom	Taxon
phylum	Taxon
class	Taxon
order	Taxon
family	Taxon
genus	Taxon
subgenus	Taxon
specificEpithet	Taxon
infraspecificEpithet	Taxon
taxonRank	Taxon
verbatimTaxonRank	Taxon
scientificNameAuthorship	Taxon
vernacularName	Taxon
nomenclaturalCode	Taxon
taxonomicStatus	Taxon
nomenclaturalStatus	Taxon
taxonRemarks	Taxon
