identificationqualifier	standard	vetted
 B1001 TYPE OF PACHYCEPHALA RUFIVENTRIS MINOR, ZIETZ, 1914 (SEE SAOA 1(1):15		1
 N. SP.	sp. nov.	1
 SP.	sp.	1
 SYNTYPE OF RHIPIDURA MAYI, ASHBY, 1911 (SEE EMU 11:41)		1
"		1
"SP. 1"	sp.	1
"SP. 2"	sp.	1
(=Z. CORNUTUS)		1
(ACHIROSTOMIAS)  N. SP.	sp. nov.	1
(ALBURNOPS) SP.	sp.	1
(ALBURNOPS) SP. LONGIROSTRIS	sp.	1
(ALVORDIUS) SP.	sp.	1
(AURULENTA SUBSP.)	ssp.	1
(BIRADIOSTOMIAS) SP.	sp.	1
(BUDYTES ?) SP.	sp.	1
(CATONOTUS) SP.	sp.	1
(CYPRINELLA) SP.	sp.	1
(DORATION) SP.	sp.	1
(DUMÉRIL & BIBRON, 1839)		1
(DUMÉRIL & BIBRON, 1841)		1
(DUMÉRIL, 1853)		1
(ETHEOSTOMA) SP.	sp.	1
(GYROLOIDES SUBSP.)	ssp.	1
(HAPCLONUS) SP.	sp.	1
(LORICARIICHTHYS)SP.	sp.	1
(NANOSTOMA) SP.	sp.	1
(NOMINOSTOMIAS ) N. SP.	sp. nov.	1
(NOMINOSTOMIAS) N. SP. A	sp. nov.	1
(NOMINOSTOMIAS) N. SP. B	sp. nov.	1
(NOMINOSTOMIAS) SP.	sp.	1
(NOMINOSTOMIAS) SP. #1	sp.	1
(NOMINOSTOMIAS) SP. (#2)	sp.	1
(PROBABLY)	in question	1
(PTERONOTROPIST) SP.	sp.	1
(S.S.) SP.	sp.	1
(SLHUMOPS) SP. LONGINOSTRIS	sp.	1
(SP. NOV)	sp. nov.	1
(SP.)	sp.	1
(SP.?)	sp.	1
(ULOCENTRA) SP.	sp.	1
*SPECIMEN LOST		1
?	id in question	1
? CLASS	class in question	1
? CLASS ?ID	class in question	1
? FAM	family in question	1
? FAM & GENUS	family, genus in question	1
? FAM ORDER	order, family in question	1
? FAM, ? GEN	family, genus in question	1
? FAMILY	family in question	1
? FM	family in question	1
? GEN	genus in question	1
? GEN & SP.	genus, species in question	1
? GEN ? SP	genus, species in question	1
? GEN ?SP	genus, species in question	1
? GEN.	genus in question	1
? GEN. & SP.	genus, species in question	1
? GEN+FAM	family, genus in question	1
? GEN+SP	genus, species in question	1
? GENUS	genus in question	1
? GN	genus in question	1
