month	standard	vetted
   		1
---		1
  JAN	1	1
  MAY 	5	1
  OCT	10	1
 & NOV 		1
 02 AUG	8	1
 05 MAY	5	1
 08 JUL	7	1
 09 JUL	7	1
 1	1	1
 1 FEB 	2	1
 10	10	1
 10 APRIL	4	1
 10 AUGUST	8	1
 11		1
 12	12	1
 13		1
 14		1
 15		1
 15 JAN	1	1
 15 OR SEP 23		1
 16		1
 17		1
 18		1
 1827 AND		1
 1876 AND		1
 18TH		1
 19		1
 1912		1
 1915		1
 1968		1
 1969 		1
 1971		1
 1973 		1
 1991		1
 1996 AND 1-MAY		1
 2	2	1
 2 OR 3		1
 20		1
 20 APRIL	4	1
 21		1
 22		1
 23		1
 24		1
 25		1
 25 AUG 	8	1
 26		1
 27		1
 28		1
 29		1
 3	3	1
 3 AUG	8	1
 30		1
 30 AUG	8	1
 30 SEPTEMBER	9	1
 31		1
 4	4	1
 4 JULY	7	1
 5	5	1
 6	6	1
 '68		1
 '69		1
 7	7	1
 8	8	1
 9	9	1
 AND APR 		1
 APR	4	1
 APRIL	4	1
 AUGUST	8	1
 DEC 22	12	1
 FEB	2	1
 JAN 	1	1
 JAN-	1	1
 JANUARY	1	1
 JUL	7	1
 JUL 1970	7	1
 JULY	7	1
 JUN	6	1
 JUNE	6	1
 JUNE 1943 & JULY		1
 MAR	3	1
 MARCH	3	1
 MAY	5	1
 NOV 	11	1
 OCT 	10	1
 OCTOBER	10	1
 OR 2ND  WEEK		1
 OR DEC 		1
 SEP	9	1
 SEPT	9	1
 SEPTEMBER	9	1
 TO DEC 		1
 TO MID-FEB 		1
"FALL"		1
& 10 JUN		1
& 14 MAY		1
& 19 APR		1
& 19 NOV 		1
& 21 JUL		1
& 21 MAY		1
& 22 JAN 		1
& 26 NOV		1
& 27 NOV 		1
& 30 JUNE		1
& 6  APRIL		1
(?)		1
(4) MAY	5	1
(AUG)	8	1
(AUG?)-	8	1
(JUNE?)	6	1
(NO		1
(SPRING)		1
)CT0BER	10	1
*		1
*/*/		1
/		1
/ /		1
/ /1944 		1
//		1
/1963 		1
?		1
?-		1
? MARCH	3	1
@		1
[MARCH?]	3	1
[NO		1
[NOV]	11	1
__		1
__MAR	3	1
__MAR __1996	3	1
†JUNE	6	1
†NOVEMBER	11	1
0		1
00		1
00/00		1
000		1
01	1	1
01MAR1993;		1
02	2	1
03	3	1
04	4	1
04AUG	8	1
05	5	1
06	6	1
06MAY	5	1
07	7	1
07JUN	7	1
08	8	1
08MAR	3	1
08NOV	11	1
09	9	1
090JUN	6	1
09NOV	11	1
0CTOBER	10	1
1	1	1
1 1926 OR AUG 2		1
1 DEC	12	1
1 NOVEMBER	11	1
1 SEPT	9	1
10	10	1
10/*/		1
10/11/		1
10/23/	10	1
10/26	10	1
11	11	1
11-	11	1
11 JUN	6	1
11 OR 18		1
11/*/		1
11/8/		1
11-14 FEB	2	1
11-19 DEC	12	1
116		1
117		1
118		1
119		1
11JULY	7	1
11OCTOBER	10	1
12	12	1
12/		1
12/*/		1
120		1
121		1
122		1
