sex	standard	vetted
 		1
-		1
--		1
---		1
----		1
—		1
 ?	in question	1
-- [APPARANTLY F]	female	1
-- [APPARANTLY M]	male	1
 F	female	1
 M	male	1
"		1
"?"	in question	1
"?"[=M]	in question	1
"[ILLEG]"	unknown	1
"[ILLEG]" [APP M]	male	1
"[ILLEG]" [PRESUMABLY =F]	female	1
"F ? *	in question	1
"F ? M"	in question	1
"F [M]	unknown	1
"F I THINK"	in question	1
"F M"	unknown	1
"F"	female	1
"F" & "M" [APP.=F]	unknown	1
"F" ?	in question	1
"F" ? [=M]	in question	1
"F" ?[=M]	in question	1
"F" [=APP.M]	unknown	1
"F" [=M ?]	in question	1
"F" [=M PROB.]	unknown	1
"F" [=M?]	in question	1
"F" [=M]	unknown	1
"F" [=M]*	unknown	1
"F" [=M]?	in question	1
"F" [APP. M]	unknown	1
"F" [M]	unknown	1
"F" M	unknown	1
"F"(M)	unknown	1
"F"[=APP. M]	unknown	1
"F"[=M?[IM]]	in question	1
"F"[=M?]	in question	1
"F"[=M]	unknown	1
"F"[BILL SCRATCH INDICATES M]	unknown	1
"F"[FROM SIZE IS A M]	unknown	1
"F"[IS SIZE OF M]	unknown	1
"F"[M*]	unknown	1
"F"[M]	unknown	1
"F(?)"	in question	1
"F?"	in question	1
"F?"[=F]	in question	1
"F?"[=M]	in question	1
"HOR, F'	female	1
"IM. F"; SEX AMBIGUOUS	in question	1
"M (?) [=M]	in question	1
"M [F]	unknown	1
"M OR F ?"	in question	1
"M"	male	1
"M" ?	in question	1
"M" [=F ?]	in question	1
"M" [=F APP.]	unknown	1
"M" [=F SURELY]	female	1
"M" [=F?]	in question	1
"M" [=F]	unknown	1
"M" [APP. F]	unknown	1
"M" [APP. M]	unknown	1
"M" [LITTLE DOUBT =F]	female	1
"M" APP.[=F]	unknown	1
"M"[=F?]	in question	1
"M"[=F]	unknown	1
"M"[F?]	in question	1
"M"=F ?	in question	1
"M"F	unknown	1
"M: [APPARENTLY =F]	unknown	1
"M?"	in question	1
"M?"[=M]	in question	1
"M?"[=UNDERLINED M]	in question	1
"MALE"	male	1
"O"	unknown	1
"O"[=F]	female	1
"T		1
"UPSIDE DOWN F SYMBOL"	female	1
("M AD")NO! IS JUV	male	1
(?)	in question	1
(?) SIX	in question	1
(F ?)	in question	1
(F)	female	1
(F) ?	in question	1
(F)=[M]	unknown	1
(F?)	in question	1
(FEMALE)	female	1
(FEMALE?)	in question	1
(M ?)	in question	1
(M ?) [F]	in question	1
(M =)[F]	unknown	1
(M APPARANTLY)	male	1
(M IM ?)	in question	1
(M)	male	1
(M) ?	in question	1
(M) ?)	in question	1
(M) SEE NOTE	male	1
(M)=(F)	unknown	1
(M)=F	unknown	1
(M/F?)	in question	1
(M?)	in question	1
(M?)=[F]	in question	1
(MALE OR FEMALE ?)	in question	1
(MALE)	male	1
(MALE)?	in question	1
(N)	unknown	1
(NOT DETERMINED)	unknown	1
(NOT DETERMINED), JUVENILE	unknown	1
(SEX UNKNOWN)	unknown	1
(SEX?)	in question	1
